SN,Village,Gender,R_2_HH,HH_Size,Age,Ethnicity,Decisions,P_Decisions,Education,Experience,Owning_Livestock,Livestock_No,Livestock_value,Fodder_Exp,Veterinary_Exp,Enclosure_Exp,Hired_Lbr_Exp,Revenue,Land_Own,Land_Size,Land_Use,Cattle,Sheep,Chicken,Pigs,Dairy_Cattle,Dairy_Cattle_No,Grazing_location,Transport2Grazing,Travel_Time,Aquire_Grazig,Grazing_land_source,Grazing_land_purchase_cost,Rent_previous_season,Rented_years,LeasedGrazingExternal,Land_rent_income,Estmtd_rental_income,LandMoistureLevel,Land_fertility,GrazingWaterSource,irrigation_sources,Vet_distance_avg,Distance_to_village,OwnRadio,OwnTelevision,OwnPhone,OwnTransport,Men_labour_days,Men_labour_hours_per_day,Men_labour_workers_avg,men_labour_wage_per_day,Women_labour_days,Women_labour_hours_per_day,Women_labour_workers_avg,Women_labour_wage_per_day,Men_family_labour_days,Men_family_labour_hours_per_day,Men_family_labour_workers,Women_family_labour_days,Women_family_labour_hours_per_da,Women_family_labour_workers,Child_labour_days,Child_labour_hours_per_day,Child_labour_workers_avg,Herd_size,Rope_Qty,Feeds_Qty,Herd_Size_Exp,Rope_Exp,Cattle_feeds_exp,concentratesQty,Dairy_drugs_Qty,Improved_Breed_No,Dairy_Concrete_Exp,Dairy_Drug_Exp,Improved_breed_Exp,Hired_Labour_Exp,Production_Tools_Exp,Technology_Adoption,Cowshed_Type,Breeding_Type,Vet_Treatment_Adoption,Cleaning_activities,Vaccination_Adoption,Feed_Technology,Improved_herd_mngmt_desire,Herd_Mngmnt_Type,Information_Access,Information_Source,Extension_Participation,Extension_Type,Attitude_towards_technology,Technology_Ease_of_Use,Dairy_Technologies_Usefullness,Technology_Perceived_Cost,Leading_Companies_Favour,Important_People_Favour,Contractor_Favour,Intention_To_Adopt,Information_seeking_frequency,Decision_making_ability,Gvt_Ext_Office,Contractor,Input_Suplier,Farmer_Orgnztn,NGO,Agri_Agent_Cmnction,Info_Received,Adherence_to_advice,Land_use_advice,Planting_advice,Seed_use_advice,Fertilizer_advice,Other_advice,Extension_Exp,Milk_per_day,Milk_Days,Sold_Milk,Milk_Price,Milk_Buyer,Quality_Determiner,Home_Milk,Manure_Obtained,Sold_Manure,Manure_Price,milkproductivity,Total_Milk,Food_Exp,Meals_Per_Day,Hungry_Season_Duration,Food_Insecurity_Status,ContractFarming,YearsInContractFarming,Input_access,Market_access,Credit_access,Extension_services,Contract_Type,Copy_of_Contract,Contract_Formulation,AcresUnderContractFarming,Milk_Sale_Price,Amount_Produced,Livestock_Keeping_Area,Quality_of_Milk,Date_of_Milking,Inputs_to_be_Used,Contractor_Compliance,Contractor_Non_Compliance,Respondent_Compliance,Farmer_Non_compliance,Negotiations,Mediation,Reconciliation,Arbitration,Participation_Criteria,Private_companies,International_organizations,Local_Government_Authority,Individuals,contractors,Financial_Institution,Institution_Roles,Continue_Contract_Farming,Pay_For_Contract_Farming,Willing_To_Pay_Amount,Farmers_group,Group_size,Group_Experience,Market_System,Milk_Sale,Off_Farm_Work,Off_Farm_Work_Days,Employed_By,Received_Payment,Reason_4_Pay,Duration_4_Pay,Payment,Cultivate_Crop,Crop_Land,Maize,Beans,Sun_Flower,Crop_Production_Costs,Maize_Harvest,Beans_Haverst,Sun_Flower_Harvest,Maize_Consumption,Beans_Consumption,Sun_Flower_Consumption,Maize_Commercial,Beans_Commercial,Sun_Flower_Commercial,Maize_Revenue,Beans_Revenue,Sun_Flower_Revenue,Business_Operation,Business_Duration,Business_Type,Busiess_Cost,Business_Revenue,Availability_Dry_Fodder,Availability_Green_Fodder,Availability_Concentrates,Availability_Grazing_Land,Availability_Hired_labour,Availability_Vet_Treatment,Availability_AI,Availability_Vaccination,Availability_Rental_Land,Availability_Purchase_Land,Availability_Production_Tools,Liquidity_Dry_Fodder,Liquidity_Green_Fodder,LIquidity_Concentrates,Liquidity_Grazing_Land,Liquidity_Hired_labour,Liquidity_Vet_Treatment,Liquidity_AI,Liquidity_Vaccination,Liquidity_Rental_Land,Liquidity_Purchase_Land,Liquidity_Production_Tools,Risk_Tolerance,New_Breed_Adoption,Breed_Type,veterinary,milk_produced,Total_Milk_w,edu,lnage,lnexperience,Veterinary_Exp_w,Cattle_feeds_exp_w,lncatfeed_exp,lnVeterinary_Exp,extension1,extension,Distance_to_Town,Dairy_Cattle_No_w,AI,Vet_services,both,Hiredlbr_new,Vaccination_Adoption_01,HH_Size_w,Dairy_Concrete_Exp_w,production_tools,hiredlbr,Gender_1,Gender_2,Education_1,Education_2,Education_3,Education_4,OwnTelevision_1,OwnTelevision_2,AI_1,AI_2,Risk_Tolerance_1,Risk_Tolerance_2,Risk_Tolerance_3,extension_1,extension_2,Farmers_group_1,Farmers_group_2,ContractFarming_1,ContractFarming_2,Liquidity_Vet_Treatment_1,Liquidity_Vet_Treatment_2,Liquidity_Vet_Treatment_3,Liquidity_Vaccination1,Liquidity_Vaccination2,lnqtyfeeds,lnqtyconcrete,Land_fertility_1,Land_fertility_2,Decision_making_ability_1,Decision_making_ability_2,Decision_making_ability_3,Off_Farm_Work_1,Off_Farm_Work_2,Business_Operation_1,Business_Operation_2,vet_services,Information_seeking_frequency1,Information_seeking_frequency2,Information_seeking_frequency3,Liquidity_Vet_Treatment1,Liquidity_Vet_Treatment2,Liquidity_Vet_Treatment3,both1,both2,both3,Feeds_Qty_01,lnfeed,lnfeed1,Fodder_Exp_01,lnfodder,vetexp,vetvisits,Adherence,ATT,ATU
127,mshiri,Male,Head,5,47,Chagga,HH & HM,Yes,Primary school,15,Yes,1,700000,100000,30000,,,576000,Yes,.25,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,4,1,,,,1,2,140,,10000,60000,4,,1,24000,5000,25000,,No,Yes,,Artificial insemination,Yes,Regular cleaning,No,Recomended,Yes,Implement crossbreeding,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Less Frequent,Medium,,No,Yes,,,Several times per month,Dairy production,Mostly,,,,,,,3.5,30,480,1200,Neighbour,Seller,360,60,No,,840,840,1400000,Three meals,,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.5,Yes,Yes,,120000,3,.3,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,Somewhat constrained,No constraints,Slightly constrained,Somewhat constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Disagree,Local Breed,1,0,840,Primary education,3.8501475,2.7080503,30000,60000,11.0021,10.308952,Yes,Yes,42,1,Yes,No,either,0,No,5,24000,No,No,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,4.9416423,1.3862944,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,140,4.9416423,4.9416423,100000,11.512925,5000,1,Disagree,672.48944,354.36163
128,mshiri,Female,Head,2,37,Chagga,HH,Yes,Advanced secondary school,43,Yes,1,700000,110000,22000,,,576000,Yes,.25,Animal keeping,Yes,,,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,About the same,No,,,42,Yes,No,Yes,No,,,,,,,,,,,,30,3,1,,,,1,1,560,,0,240000,24,,1,144000,22000,0,,No,Yes,,Artificial insemination,Yes,Regular cleaning,No,Recomended,Yes,keep cattle health,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Never,Medium,,No,Yes,,,Once per year,Dairy production,Sometimes,,,,,,,2.5,30,480,1200,Neighbour,Seller,120,60,No,,600,600,770000,Three meals,,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,Severely constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk averse,Disagree,Local Breed,1,0,600,Primary education,4.2766662,3.7612002,22000,240000,12.388394,9.9987974,Yes,Yes,42,1,Yes,No,either,0,No,2,144000,No,No,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,6.3279366,3.1780539,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,300,5.7037826,5.7037826,110000,11.608235,22000,3,Agree,1874.7493,760.43268
129,mshiri,Male,Head,3,69,Chagga,HH & HM,Yes,Ordinary secondary school,37,Yes,1,1000000,460000,40000,,,1872000,Yes,.75,Animal keeping,Yes,Yes,,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,4,1,,,,1,1,840,,0,360000,56,,1,104000,15000,25000,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,Yes,Implement crossbreeding,Yes,Other entrepreneurs,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,High,,Yes,No,,,Several times per month,Dairy production,Mostly,,,,,,,8,30,2340,800,,Buyer,540,70,No,,2880,2880,1000000,Three meals,,Moderate food insecure,Yes,5,,Yes,,,Verbal,,No,,,Yes,,,,,No,Did not accept quality,Yes,,Yes,,,,Residence,Yes,,,,,,Provision of extension services,Yes,No,,Yes,16,More than 5 years,Yes,Contractors,No,,,,,,,Yes,.75,Yes,Yes,,370000,6,.6,,Yes,Yes,,Yes,,,180000,,,No,,,,,Somewhat constrained,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,Severely constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Disagree,Improved Breed,1,0,2880,Secondary & above education,4.2341065,3.6109178,40000,360000,12.793859,10.596635,Yes,Yes,43,1,Yes,Yes,both,0,Yes,3,104000,No,No,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,6.7334018,4.0253515,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,840,6.7334018,6.7334018,460000,13.038981,15000,2,Neutral,2554.2969,1889.873
130,mshiri,Male,Head,2,65,Chagga,HH & HM,Yes,Ordinary secondary school,25,Yes,2,1200000,720000,45000,,,432000,Yes,.25,,Yes,,,,Yes,2,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,4,1,,,,1,2,140,,0,60000,4,,1,24000,20000,25000,,No,Yes,,Artificial insemination,No,Regular cleaning,No,Recomended,Yes,Implement crossbreeding,No,,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Less Frequent,Medium,,No,Yes,,,Several times per month,Dairy production,Sometimes,,,,,,,2,30,360,1200,Neighbour,Seller,120,,No,,240,480,600000,Three meals,,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.5,Yes,Yes,,125000,4,.5,,Yes,Yes,,Yes,,,180000,,,No,,,,,Somewhat constrained,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,Severely constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Disagree,Improved Breed,1,0,480,Secondary & above education,4.1743875,3.2188759,45000,60000,11.0021,10.714417,Yes,Yes,42,1,Yes,No,non,0,No,2,24000,No,No,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,4.9416423,1.3862944,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,140,4.9416423,4.9416423,720000,13.487006,10000,1,Disagree,2321.4102,791.51605
131,lyasongoro,Female,Head,5,60,Chagga,HH,Yes,Post secondary education,40,Yes,4,4800000,1540000,111000,,720000,800000,Yes,.5,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,30,,,,,,,,,,,30,,,,,,5,6,1680,,15000,720000,290,,3,515000,30000,75000,720000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,No,Implement crossbreeding,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,Medium,,Yes,No,,,Once per month,Dairy production,Mostly,,,,,,,17,30,5400,800,Contractor,Buyer,720,180,No,,6120,6120,1400000,Three meals,,Low food insecure,Yes,9,,Yes,,,Verbal,,No,,,Yes,,,,,Yes,,Yes,,,,Yes,,Residence,Yes,,,,,,Market information,Yes,No,,Yes,8,More than 5 years,Yes,Contractors,No,,,,,,,Yes,.5,Yes,Yes,,400000,4,1,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk seeking,Strongly agree,Improved Breed,1,0,6120,Primary education,4.0943446,3.6888795,82000,555000,13.226724,11.314474,Yes,Yes,42,1,Yes,Yes,both,720000,Yes,5,288000,No,Yes,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,7.426549,5.6698809,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1680,7.426549,7.426549,1540000,14.247293,36000,4,Strongly agree,6425.292,4763.8071
132,lyasongoro,Female,Head,5,68,Chagga,HH & HM,Yes,Primary school,48,Yes,4,3400000,320000,169000,,840000,4068000,Yes,1.5,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,Yes,Yes,No,30,4,1,2300,,,,,,,,30,4,2,,,,4,5,840,,5000,360000,84,,2,114000,144000,25000,840000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,Yes,Maintain accurate record,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Large effort in training/advice,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,Medium,,No,Yes,,,Several times per month,Dairy production,Mostly,,,,,,,12,30,3960,800,Contractor,Buyer,360,180,No,,8320,8320,1300000,Three meals,,Moderate food insecure,Yes,6,,,,,Verbal,,No,,,Yes,,,,,No,Did not accept quality,Yes,,,,Yes,,Residence,Yes,,,,,,Market information,Yes,No,,Yes,8,More than 5 years,No,,No,,,,,,,Yes,.5,Yes,Yes,,70000,3.5,.3,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,4320,Primary education,4.2195077,3.871201,82000,360000,12.793859,11.314474,Yes,Yes,43,1,Yes,Yes,both,840000,Yes,5,114000,No,Yes,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,6.7334018,4.4308167,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,840,6.7334018,6.7334018,320000,12.676076,144000,6,Strongly agree,3597.1882,2437.5701
133,lyasongoro,Male,Head,1,39,Chagga,HH,Yes,Primary school,12,Yes,2,2300000,600000,5000,,96000,,Yes,1,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,No,Yes,No,4,4,1,2000,,,,,,,,30,2,1,,,,1,2,360,,0,154000,155,,1,225000,25000,25000,96000,No,Yes,,Artificial insemination,Yes,Regular cleaning,No,Recomended,No,Implement crossbreeding,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,Medium,,Yes,No,,,Once per month,Dairy production,Mostly,,,,,,,14,30,2520,800,Contractor,Buyer,420,60,No,,2360,2360,600000,Three meals,,Moderate food insecure,Yes,4,,,,,Verbal,,No,,,Yes,,,,,No,Did not accept quality,Yes,,,,Yes,,Residence,Yes,,,,,,Provision of extension services,Yes,No,,No,8,More than 5 years,No,Contractors,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,Somewhat constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,0,Primary education,3.6635616,2.4849067,50000,154000,11.944708,10.819778,Yes,Yes,42,1,Yes,No,either,96000,No,1,225000,No,Yes,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,5.8861041,5.0434251,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,360,5.8861041,5.8861041,0,,-20000,0,Strongly disagree,,
134,lyasongoro,Female,Head,5,50,Chagga,HH,Yes,Advanced secondary school,7,Yes,2,1700000,250000,45000,,308000,,Yes,1.5,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,10,4,1,2000,,,,,,,,30,3,1,,,,2,2,560,,0,100000,172,,2,176000,20000,25000,308000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,No,Implement crossbreeding,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Less Frequent,High,,No,Yes,,,Several times per month,Dairy production,Mostly,,,,,,,7,30,1800,1200,Neighbour,Seller,300,180,No,,2100,2100,1000000,Three meals,,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Private buyers,Yes,150,Religious organization,No,Volunteer,,,Yes,.25,Yes,Yes,,100000,2.5,.5,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Slightly constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,2100,Secondary & above education,3.9120231,1.9459101,45000,100000,11.512925,10.714417,Yes,Yes,42,1,Yes,Yes,both,308000,Yes,5,176000,No,Yes,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,6.3279366,5.1474943,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,560,6.3279366,6.3279366,250000,12.429216,20000,2,Neutral,2127.2375,2245.7617
135,lyasongoro,Male,Head,4,45,Chagga,HH & HM,Yes,Primary school,2,Yes,2,2500000,1600000,40000,,,,Yes,1,Animal keeping,Yes,,,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,2,1,,,,1,2,600,,0,390000,68,,0,0,40000,0,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,No,Implement crossbreeding,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Less Frequent,Medium,,No,Yes,,,Several times per month,Dairy production,Mostly,,,,,,,9.5,30,2100,1200,Neighbour,Seller,150,103,No,,2550,2550,900000,Three meals,,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,Yes,144,NGO,Yes,,Per day,25000,Yes,.5,Yes,Yes,,200000,6,1.5,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk seeking,Agree,Improved Breed,1,0,2550,Primary education,3.8066626,.69314718,40000,390000,12.873902,10.596635,Yes,Yes,42,3,Yes,Yes,both,0,Yes,4,0,No,No,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,6.3969297,4.2195077,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,600,6.3969297,6.3969297,1600000,14.285514,40000,4,Strongly agree,2584.5466,3394.0532
136,lyasongoro,Male,Head,5,80,Chagga,HH & HM,Yes,Ordinary secondary school,45,Yes,1,800000,0,30000,,,,Yes,1,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,No,Yes,No,,,,,,,,,30,6,1,30,5,1,,,,1,2,360,,0,154000,8,,1,48000,30000,0,,No,Yes,,Natural,No,Regular cleaning,No,Recomended,No,keep cattle health,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Less Frequent,Medium,,No,Yes,,,Once per year,Dairy production,Mostly,,,,,,,4,30,720,1500,Neighbour,Seller,720,60,No,,1440,1440,1700000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,1,Yes,Yes,,400000,4,.8,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,1440,Primary education,4.3820267,3.8066626,30000,154000,11.944708,10.308952,Yes,Yes,42,1,No,No,non,0,No,5,48000,No,No,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,5.8861041,2.0794415,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,360,5.8861041,5.8861041,170000,12.043553,30000,3,Agree,2327.7388,1074.7086
137,ashira,Male,Head,1,43,Chagga,HH,Yes,Primary school,2.5,Yes,2,2000000,420000,74000,,,3240000,Yes,.75,Animal keeping,Yes,,,,Yes,2,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,Yes,River/stream,,43,Yes,Yes,Yes,Yes,,,,,,,,,30,4,1,,,,,,,2,2,840,,0,540000,24,,2,144000,24000,50000,,No,Yes,,Artificial insemination,No,Regular cleaning,Yes,Recomended,Yes,keep cattle health,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Frequent,Medium,,No,No,,,Once per year,Dairy production,Always exactly,,,,,,,16,30,3600,900,Contractor,Buyer,240,135,No,,2920,5840,1100000,Three meals,,Not food insecure,Yes,2,,Yes,,,Verbal,,No,,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Residence,Yes,,,,,,Market information,Yes,No,,No,,,Yes,Contractors,No,,,,,,,No,,,,,,,,,,,,,,,,,,Yes,12,Small business (shop),3600000,6500000,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,3840,Secondary & above education,3.4339871,.91629076,74000,540000,13.199325,11.211821,Yes,Yes,43,2,Yes,No,either,0,Yes,1,144000,No,No,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,6.7334018,3.1780539,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,840,6.7334018,6.7334018,420000,12.94801,12000,2,Neutral,4287.9316,2569.2468
138,ashira,Male,Head,3,31,Chagga,HH,Yes,Primary school,3,Yes,2,2000000,600000,49000,,720000,3780000,Yes,.73,Animal keeping,Yes,,,Yes,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,Yes,River/stream,,43,Yes,Yes,Yes,Yes,20,3,1,2000,,,,,,,,30,2,1,,,,2,2,1400,,0,480000,24,,2,144000,24000,28000,720000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,Yes,keep cattle health,Yes,Contractor,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,,Yes,No,,,Once per month,Dairy production,Always exactly,,,,,,0,18,30,4200,900,Contractor,Buyer,120,130,No,,2160,4320,1400000,Three meals,,Not food insecure,Yes,3,,Yes,,,Verbal,,No,,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Residence,Yes,,,,,,Market information,Yes,No,,No,,,Yes,Contractors,Yes,230,Private sector,Yes,,Per month,250000,Yes,.5,Yes,Yes,,150000,4,.25,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Somewhat constrained,No constraints,Somewhat constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,4320,Secondary & above education,3.7612002,1.0986123,49000,480000,13.081541,10.799576,Yes,Yes,43,2,Yes,Yes,both,720000,Yes,3,144000,No,Yes,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,7.2442274,3.1780539,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1400,7.2442274,7.2442274,600000,13.304685,10500,2,Neutral,3709.3711,3390.2129
